horizon,end_date,n_obs,ql_har,ql_harx,delta_ql,delta_ql_e4
6m,2021-10-06,9488,0.0002856067365668614,0.00028140669862363604,-4.200037943225378e-06,-0.04200037943225378
6m,2021-11-04,9509,0.0002852676917681572,0.00028117948434148624,-4.088207426670965e-06,-0.04088207426670965
6m,2021-12-03,9530,0.0002848106296127303,0.0002808100820404259,-4.000547572304437e-06,-0.040005475723044366
6m,2022-01-06,9551,0.00028474241327121835,0.00028077258808890314,-3.969825182315208e-06,-0.03969825182315208
6m,2022-02-04,9572,0.00028447109242978,0.000280560075709775,-3.911016720004989e-06,-0.03911016720004989
6m,2022-03-07,9593,0.0002841193724056423,0.0002802731498210796,-3.84622258456271e-06,-0.0384622258456271
6m,2022-04-05,9614,0.00028390181378097244,0.0002800955550546284,-3.80625872634403e-06,-0.0380625872634403
6m,2022-05-09,9635,0.0002835990423523241,0.00027985634668931033,-3.742695663013786e-06,-0.03742695663013786
6m,2022-06-09,9656,0.0002835893541270309,0.0002798583236030402,-3.731030523990706e-06,-0.03731030523990706
6m,2022-07-08,9677,0.00028332796134385206,0.0002796364288299521,-3.6915325138999486e-06,-0.036915325138999484
6m,2022-08-08,9698,0.0002831163491570989,0.0002794579617338046,-3.658387423294263e-06,-0.036583874232942626
6m,2022-09-07,9719,0.0002828397809421638,0.00027924697185165165,-3.5928090905121605e-06,-0.035928090905121605
6m,2022-10-07,9740,0.00028270933635699436,0.00027915365724115286,-3.5556791158414995e-06,-0.035556791158414994
6m,2022-11-07,9761,0.00028265820978799663,0.00027913387888183557,-3.524330906161063e-06,-0.03524330906161063
6m,2022-12-06,9782,0.0002825053481821919,0.0002790192688882593,-3.4860792939326126e-06,-0.034860792939326125
6m,2023-01-09,9803,0.0002824052904934176,0.000278947501904581,-3.4577885888365965e-06,-0.03457788588836597
6m,2023-02-07,9824,0.0002821604911405051,0.00027874064536713227,-3.419845773372835e-06,-0.03419845773372835
6m,2023-03-08,9845,0.0002817996219458351,0.0002784109424512748,-3.3886794945603383e-06,-0.033886794945603385
6m,2023-04-06,9866,0.00028159031776052673,0.00027818723223324413,-3.4030855272825975e-06,-0.034030855272825976
6m,2023-05-11,9887,0.00028132620526087317,0.0002779008938879412,-3.425311372931984e-06,-0.034253113729319835
6m,2023-06-12,9908,0.000281187248079091,0.000277700799497311,-3.4864485817799845e-06,-0.03486448581779984
6m,2023-07-11,9929,0.0002809699228202731,0.00027741635543647095,-3.5535673838021573e-06,-0.03553567383802157
6m,2023-08-09,9950,0.0002808402386661699,0.0002771898768005715,-3.65036186559842e-06,-0.0365036186559842
6m,2023-09-08,9971,0.00028047594481021956,0.0002769792299583621,-3.4967148518574723e-06,-0.03496714851857472
6m,2023-10-09,9992,0.0002841395792136409,0.00028248115455016255,-1.6584246634783494e-06,-0.016584246634783494
